Time,Temperature
20210208T0900,13.329635
20210208T1000,13.949635
20210208T1100,14.549635
20210208T1200,15.109635
20210208T1300,15.409635
20210208T1400,15.909635
20210208T1500,16.989635
20210208T1600,17.929636
20210208T1700,18.549637
20210209T0900,15.119635
20210209T1000,17.389635
20210209T1100,20.119637
20210209T1200,22.909636
20210209T1300,24.969635
20210209T1400,26.659636
20210209T1500,27.679636
20210209T1600,28.199636
20210209T1700,28.169636
20210210T0900,20.169636
20210210T1000,24.269636
20210210T1100,27.309635
20210210T1200,30.059635
20210210T1300,31.779636
20210210T1400,32.929634
20210210T1500,33.589638
20210210T1600,33.919636
20210210T1700,32.789635
20210211T0900,27.989635
20210211T1000,31.869637
20210211T1100,33.679634
20210211T1200,35.129635
20210211T1300,36.329636
20210211T1400,34.919636
20210211T1500,36.239635
20210211T1600,36.379635
20210211T1700,35.519634
20210212T0900,20.379637
20210212T1000,20.099636
20210212T1100,20.549637
20210212T1200,21.849636
20210212T1300,23.879637
20210212T1400,25.689636
20210212T1500,26.799637
20210212T1600,27.749636
20210212T1700,27.849636
20210213T0900,14.599635
20210213T1000,15.139635
20210213T1100,15.649635
20210213T1200,16.529636
20210213T1300,17.719635
20210213T1400,18.669636
20210213T1500,19.229635
20210213T1600,19.309635
20210213T1700,19.149635
20210214T0900,15.619635
20210214T1000,17.329636
20210214T1100,19.189636
20210214T1200,20.879637
20210214T1300,22.249636
20210214T1400,23.219635
20210214T1500,23.739635
20210214T1600,23.789637
20210214T1700,23.239635
20210215T0900,15.389635
20210215T1000,17.369637
20210215T1100,20.089636
20210215T1200,23.239635
20210215T1300,25.809635
20210215T1400,27.879637
20210215T1500,29.169636
20210215T1600,29.949636
20210215T1700,30.049637
20210216T0900,22.309635
20210216T1000,25.869637
20210216T1100,28.129637
20210216T1200,29.979635
20210216T1300,31.369637
20210216T1400,32.379635
20210216T1500,32.899635
20210216T1600,32.859634
20210216T1700,32.639633
20210217T0900,24.509636
20210217T1000,27.499636
20210217T1100,29.439636
20210217T1200,31.279636
20210217T1300,32.499634
20210217T1400,33.429634
20210217T1500,34.009636
20210217T1600,34.119637
20210217T1700,33.719635
20210218T0900,22.379637
20210218T1000,24.719635
20210218T1100,26.799637
20210218T1200,28.739635
20210218T1300,30.379637
20210218T1400,31.679636
20210218T1500,32.579636
20210218T1600,32.949635
20210218T1700,32.919636
20210219T0900,23.169636
20210219T1000,25.789637
20210219T1100,28.349636
20210219T1200,30.419636
20210219T1300,31.909636
20210219T1400,33.059635
20210219T1500,33.869637
20210219T1600,34.349636
20210219T1700,34.409637
20210220T0900,26.319635
20210220T1000,27.699636
20210220T1100,27.499636
20210220T1200,28.339636
20210220T1300,30.229635
20210220T1400,31.309635
20210220T1500,33.959637
20210220T1600,33.489635
20210220T1700,33.259636
20210221T0900,17.429636
20210221T1000,18.969635
20210221T1100,20.479635
20210221T1200,23.579636
20210221T1300,25.979635
20210221T1400,26.979635
20210221T1500,27.429636
20210221T1600,25.079636
20210221T1700,21.389635
